model,Rating,Rating std,Rating alpha,is_english Rating,is_english Rating std,is_english Rating alpha,is_chinese Rating,is_chinese Rating std,is_chinese Rating alpha,is_code Rating,is_code Rating std,is_code Rating alpha,is_hard Rating,is_hard Rating std,is_hard Rating alpha
gpt-4o-2024-05-13,1296.5964790725538,2.276888171532072,"[np.float64(-4.0500205497558), np.float64(4.766997015290144)]",-12.722240748916793,3.109610345362571,"[np.float64(-7.559441031516818), np.float64(4.569957719440065)]",-3.202442298675295,4.462183252954948,"[np.float64(-8.509095030316072), np.float64(8.703259696044128)]",15.460074003059937,3.740272554165186,"[np.float64(-6.181232358508975), np.float64(8.325937999254347)]",13.40388101587258,3.4728795823748912,"[np.float64(-5.209570569390413), np.float64(8.254166667149839)]"
claude-3-5-sonnet-20240620,1285.8415268386227,3.708371434579528,"[np.float64(-7.165066951463132), np.float64(7.289512735063454)]",-29.13808020539193,5.010123311957951,"[np.float64(-11.300886449031562), np.float64(8.841374207822007)]",-19.31571325746969,7.04043553924261,"[np.float64(-13.011679906646144), np.float64(14.643477325919307)]",43.76346862366197,6.179514573678014,"[np.float64(-10.955855168254615), np.float64(12.685097646945195)]",13.80821515097738,5.348033005296337,"[np.float64(-8.969912671174393), np.float64(11.650527718167792)]"
gemini-advanced-0514,1285.0907351859937,2.5245877745600187,"[np.float64(-4.955479650412144), np.float64(4.740138501468209)]",-25.9875274007753,3.525847080774605,"[np.float64(-8.168515435136417), np.float64(5.479943287272793)]",7.538918389841823,4.861382586671252,"[np.float64(-9.359705960079577), np.float64(9.265069172426056)]",2.0693168910370874,4.337955037414525,"[np.float64(-7.614078883378233), np.float64(9.39284925003799)]",2.9036170001804438,3.7145895509413487,"[np.float64(-6.129104616099998), np.float64(8.527207422097499)]"
gemini-1.5-pro-api-0514,1273.4158216015678,2.395001580167996,"[np.float64(-4.226972985977682), np.float64(5.032356142193748)]",-19.652567875734395,3.441946650783224,"[np.float64(-7.7535337736228485), np.float64(5.426741022483796)]",18.96379605552419,4.747355387730503,"[np.float64(-8.543820293277495), np.float64(9.790911260699636)]",10.958201169810192,4.116048965166948,"[np.float64(-6.877872201546774), np.float64(9.244428721185724)]",15.203558007362856,3.607157258868398,"[np.float64(-5.3077648717002806), np.float64(8.112818654912882)]"
claude-3-opus-20240229,1272.83286716387,1.549620612108748,"[np.float64(-2.584123545621651), np.float64(3.598016073081908)]",-39.146776296624246,2.3863426406715336,"[np.float64(-6.484544971992783), np.float64(2.7650156687203165)]",0.6555769350331458,2.8434347003197487,"[np.float64(-5.173335508921111), np.float64(5.926124784707322)]",11.518603612587716,2.712987001587835,"[np.float64(-4.362535451247027), np.float64(6.153169289683407)]",15.213715539238809,2.4654497623463376,"[np.float64(-3.199708186632442), np.float64(6.375558148268647)]"
bard-jan-24-gemini-pro,1271.1681309587368,6.480652132898937,"[np.float64(-12.342688634999831), np.float64(12.848989078765953)]",-48.13066992494291,7.140742545696555,"[np.float64(-14.710050702177618), np.float64(13.143509884274081)]",-24.97364875680349,13.085221829876115,"[np.float64(-25.75919039239866), np.float64(25.21349816628384)]",-10.769904374932835,8.073106668565254,"[np.float64(-13.819559076125016), np.float64(17.411363871069298)]",-45.26718868110007,7.063051965534456,"[np.float64(-12.594767041878178), np.float64(14.985048462782238)]"
gpt-4-1106-preview,1264.6180657259658,2.034429879637865,"[np.float64(-3.632264007833328), np.float64(4.256724653089577)]",-11.10158230387015,2.7544623987271004,"[np.float64(-7.094752999153848), np.float64(3.910531914893964)]",-3.022771894020819,3.87168879321432,"[np.float64(-7.2883385579988085), np.float64(7.9325984048811495)]",11.403962424940588,3.176063767644898,"[np.float64(-5.060244224936312), np.float64(7.591663030546117)]",8.99160095741375,2.8197410624332315,"[np.float64(-4.092925952167775), np.float64(6.90091951334768)]"
gemini-1.5-pro-api-0409-preview,1264.1297764866238,2.367819355508095,"[np.float64(-4.172805398766741), np.float64(5.036255387333313)]",-2.1217695359531468,3.1636847877667247,"[np.float64(-7.635899070122347), np.float64(4.714076277349109)]",4.690909704211835,4.2354637417312935,"[np.float64(-8.89915406632314), np.float64(7.974460540204227)]",-11.768368645338438,3.660873840139096,"[np.float64(-6.395449156538302), np.float64(8.696377872093258)]",-4.142253195770268,3.452780123619985,"[np.float64(-5.15025160391726), np.float64(8.082348312953274)]"
gpt-4-turbo-2024-04-09,1257.7040033511378,1.899942919690239,"[np.float64(-3.2932146317752995), np.float64(4.149145261277454)]",3.012832810170861,2.8841995725301723,"[np.float64(-7.100185871516645), np.float64(4.111758499351707)]",3.765715850363598,3.6911939703936687,"[np.float64(-6.674817320254688), np.float64(7.507741122015644)]",15.087807804662136,3.459768709813998,"[np.float64(-5.574951253606821), np.float64(7.698650108901408)]",11.13562570781905,2.911981507178184,"[np.float64(-4.328137465858086), np.float64(7.060354061156025)]"
gpt-4-0125-preview,1254.8088196009767,1.9964001868947368,"[np.float64(-3.3913401608735967), np.float64(4.255967028811483)]",-5.3295300419024905,2.785956272826388,"[np.float64(-6.850927741058264), np.float64(3.985356921958532)]",1.3623540806159506,3.4330503005804607,"[np.float64(-6.297804323484755), np.float64(7.348380889748075)]",2.375092238466664,3.2412690480174517,"[np.float64(-5.09980620652581), np.float64(7.43584006200768)]",13.997974121917771,2.953095469661501,"[np.float64(-4.259367169203639), np.float64(6.980878858875729)]"
gemini-1.5-flash-api-0514,1243.0982536459585,2.472810119719505,"[np.float64(-4.299514564915626), np.float64(5.019195403919639)]",-21.120562751222486,3.3511485349592336,"[np.float64(-7.678547357684044), np.float64(5.027355248338967)]",8.122593569971286,5.001332755026658,"[np.float64(-9.75815123338646), np.float64(9.67925154046105)]",14.889738880742753,4.00311684798567,"[np.float64(-7.520872487112982), np.float64(8.61901511438904)]",9.34433207981215,3.691713638840981,"[np.float64(-5.945101788935251), np.float64(8.835293618433685)]"
yi-large-preview,1237.1027506619544,2.1964255053581763,"[np.float64(-4.324141972544794), np.float64(4.722751716009952)]",-3.5010550450157374,3.2329136504464486,"[np.float64(-8.169856508691613), np.float64(4.630387016859062)]",37.369537684624405,4.383893486914457,"[np.float64(-8.659276299523043), np.float64(8.633531796153111)]",11.37826363321874,3.956401400806828,"[np.float64(-6.739185201312107), np.float64(9.209762772016031)]",16.67473055144067,3.535839593496115,"[np.float64(-5.3828862808243585), np.float64(8.742425664272965)]"
